cluster_id,name,description,size,total_size,member_clusters,sample_summaries
10,Process general LangChain product inquiries and information requests,"Users submitted various general inquiries and requests for LangChain/LangSmith services including product demos, documentation access, feature feedback, and organizational information. The support team processed these requests by scheduling calls, providing documentation links, enabling beta features, and coordinating with internal teams to fulfill information requests.",16,16,,"['provide an update on a cache issue where organizational cache settings cannot be modified due to infrastructure team restrictions, with plans to monitor if recent updates resolve the problems or explore alternative cache setting solutions.', 'provide positive feedback about the memory interrupts feature, expressing satisfaction with this functionality.', 'provide product usage guidance and explanation on how to make use of the product. The support team acknowledged the request and indicated they would provide an initial response within the next business day.']"
11,Increase LangGraph platform deployment quotas for environment separation,"Users requested deployment quota increases on the LangGraph platform to support specific business needs including separate development/staging/production environments, regulatory compliance requirements, conference demonstrations, and multi-application development workflows. The support team consistently approved these requests by increasing quotas from the default 1 deployment to 5 deployments at no additional cost during the open beta period.",30,30,,"['increase their deployment quota for the cloud platform to allow for additional dev and beta versions in preparation for their production rollout. The support team approved the request and increased their quota to 5 deployments.', 'provide an additional cloud deployment for their production environment to separate it from their development environment. The request was successfully fulfilled by increasing their deployment limit to 5 deployments.', 'increase the deployment quota for the platform from a single deployment to multiple deployments to support both production and development environments, and to provide information about potential costs and implications of additional deployments.']"
12,Resolve LangSmith dashboard UI functionality and display issues,"Users reported various LangSmith dashboard functionality issues including UI problems like panels not loading, traces showing 404 errors, projects not appearing, scrolling problems, and application crashes when viewing specific content. The support team resolved these issues through fixes, feature flag adjustments, browser updates, and infrastructure improvements to restore proper dashboard operation.",33,33,,"['help them with a technical issue where the LangSmith web application crashes when trying to view specific trace URLs that contain base64-encoded images in the prompt content. The support team worked to reproduce the issue using public trace links and deployed fixes to resolve the dashboard crashing behavior.', 'help them with a LangSmith dashboard issue where they were unable to access traces in the web application, which was resolved as a transient service interruption on the US cloud infrastructure.', 'help them with an auto-deployment feature issue in LangSmith where pushing code to the repository does not trigger the expected automatic deployment despite having the feature enabled. The support team identified this as a platform-wide issue caused by changes to the integration API and provided a timeline for the fix.']"
13,Complete LangSmith platform privacy assessments and compliance documentation,"Users requested comprehensive privacy assessments, compliance documentation, and security information for the LangSmith platform to meet organizational due diligence and regulatory requirements including GDPR compliance. The support team consistently directed users to the trust center for accessing security and compliance materials, while also addressing specific issues like broken privacy policy links and OAuth app verification requirements.",12,12,,"['complete a privacy assessment for the platform, specifically requesting information across multiple sections including general information, hosting, data processing, security measures, and artificial intelligence/machine learning components. The support team directed them to the trust center for security and compliance documentation to help complete their assessment.', 'complete an overdue privacy assessment for a service, and the support team directed them to the trust center for security and compliance information.', 'provide information about the privacy assessment status change for the platform from ""In Progress"" to ""Under Review"" and to direct them to the trust center for security and compliance questions.']"
14,Resolve LangSmith SDK functionality bugs and API integration errors,"Users experienced various LangSmith SDK functionality bugs and API integration issues, including project deletion errors preventing new project creation, failed run error message display problems, and branch condition errors in multiagent setups. They also encountered SDK version compatibility issues, API validation errors, rate limiting problems, token aggregation inaccuracies, and server errors that required troubleshooting, SDK upgrades, and platform fixes to resolve.",13,13,,"['help with a bug in the LangSmith SDK where deleting the default project prevents creating new projects due to a ""No projects found to resolve tenant"" error, and they provided both the issue details and a workaround they discovered in the code.', 'help them view the full error message for a failed run in LangSmith, as the error message was not displaying properly when they clicked on the failed run. The support team indicated this was a known bug that had been fixed in a recent version update.', 'help with a multiagent swarm setup error in LangSmith where they get a ""Branch condition returned unknown or null destination"" error when trying to send messages through the LangSmith platform, even though their setup works fine locally and through the React SDK.']"
15,Resolve LangGraph Studio technical issues and configuration problems,"Users experienced various technical issues with LangGraph Studio including browser errors, authentication failures, memory consumption problems, UI loading issues, and PyCharm debugger setup challenges. Support teams resolved these problems through cache clearing, dependency updates, server fixes, and providing alternative solutions when features were deprecated.",27,27,,"['help with a LangGraph Studio issue where the local Docker volume was consuming excessive storage space (65 GB) after running less than 100 threads across 3 graphs, causing the application to fail. The support team offered to schedule a call to investigate the storage consumption issue in real time.', 'help with displaying output on local LangGraph Studio, as they can see results on the cloud version but not locally despite having no errors.', 'help with a LangGraph platform error that occurred when trying to open traces from root runs, specifically a ""Cannot read properties of undefined"" JavaScript error. The support team quickly deployed a fix that resolved the trace viewing issue.']"
16,Clarify LangSmith trace retention policies and billing plan options,"Users requested clarification about LangSmith's trace retention policies when upgrading plans, specifically whether existing traces receive extended retention benefits and if the 400-day limit can be increased. They also sought assistance with billing inquiries including double charges, plan downgrades from Plus to Developer, and understanding what happens when free trace limits are exceeded or if specific deployments can be deleted while preserving traces.",4,4,,"['provide information about trace retention policies after upgrading from Base to Extended plan, specifically whether existing traces receive extended retention and if the 400-day limit can be increased.', 'help with billing inquiries about a double charge for November and to understand how to downgrade from the Plus plan to the Developer plan to take advantage of the 5K free traces with single user billing.', 'clarify what happens when the free traces limit is exceeded in the developer plan - specifically whether usage is automatically blocked or if charges apply for additional traces beyond the free allowance.']"
17,Process LangSmith subscription refunds for unexpected or unused charges,"Users requested refunds for subscription charges they considered unexpected, unintended, or for unused services after canceling or barely using LangSmith platform features. The support team processed various refunds ranging from partial to full amounts, with some requiring verification of actual service usage through trace logging activity.",14,14,,"['provide a refund for their subscription payment after cancelling their unused service, having forgotten to unsubscribe after testing. The support team approved a one-time courtesy refund for two billing cycles due to no usage activity.', 'provide a refund for an unexpected charge that occurred after they believed their plan was canceled. The support team processed the refund and confirmed the plan cancellation.', ""provide a refund for their subscription due to technical issues with the console functionality that prevented effective use of the platform. The support team processed the refund and requested feedback about the platform's shortcomings for improvement purposes.""]"
18,Handle unsolicited marketing and spam inquiries unrelated to LangChain support,"Users submitted various unsolicited marketing inquiries including SEO services, guest posting opportunities, link exchanges, promotional partnerships, and business development proposals that were unrelated to LangChain technical support. The support team appropriately categorized and declined these spam/marketing requests as they did not pertain to legitimate LangChain, LangSmith, or LangGraph technical assistance needs.",26,26,,"[""inquire about linking opportunities and SEO link exchanges with the website, which falls under the spam category as it's an unsolicited marketing inquiry unrelated to technical support."", ""accept guest author content submissions for their website, proposing several technical topics related to software development and cloud computing. This is categorized as spam since it's an unsolicited marketing inquiry unrelated to technical support."", ""provide information about paid guest post opportunities and link placement pricing for SEO collaboration purposes. This is categorized as spam since it's an unsolicited marketing inquiry unrelated to technical support.""]"
19,Troubleshoot LangSmith evaluation execution and tracing issues,"Users reported various issues with LangSmith evaluation functionality including missing traces during batch processing, empty experiment results despite successful execution, performance problems with high concurrency settings, and UI display bugs affecting experiment visualization. They also encountered problems with custom evaluator integration, data export capabilities, and inconsistent trace visibility between local and platform environments during evaluation workflows.",25,25,,"['help with a LangSmith testing tutorial issue where pytest with the --output=ls flag shows ""no tests ran"" in the terminal despite tests running successfully and appearing in LangSmith traces.', 'help resolve LangSmith evaluator performance issues including high latency, frequent failures, and UI inconsistencies when running experiments through the playground interface. The support team investigated trace delays, fixed latency problems, and addressed metadata grouping functionality in the dashboard.', 'help them with a LangSmith Datasets & Experiments issue where experiment view reporting was broken after a dataset restore, specifically when running evaluations on older tagged dataset versions where the CLI worked but the UI showed empty runs despite traces being generated.']"
20,Resolve LangSmith billing invoice and seat charge discrepancies,"Users requested support for various LangSmith billing issues including invoice corrections, refunds for incorrect seat charges, and clarification of prorated billing calculations. The support team resolved these requests by processing refunds, explaining billing discrepancies caused by system issues, and correcting invoice details for plan rates and billing addresses.",16,16,,"['provide a revised invoice for $53.89. The support team clarified that the original invoice was refunded and provided copies of subsequent prorated charges for seat additions.', 'clarify a confusing ""prorated seats"" line item on their invoice, which the support team explained was a delayed billing charge due to a technical issue with their billing provider in late April/early May.', ""provide a refund for duplicate payments made to two organizations with identical names due to team confusion, with the user initially requesting refunds for both organizations but later clarifying that only one organization (which hadn't been used) needed a refund.""]"
21,Filter spam and phishing emails from LangChain support channels,"Users submitted various spam and phishing emails to LangChain support requesting analysis and categorization, including domain renewal scams, fraudulent verification codes, promotional offers, and other unsolicited messages unrelated to LangChain services. The support system correctly identified these submissions as spam rather than legitimate technical support requests for LangChain or LangSmith products.",9,9,,"['analyze a potential spam or phishing email. This is a spam-related inquiry as the user is asking for help identifying fraudulent domain renewal notices rather than seeking technical support for LangChain or LangSmith products.', 'analyze a domain renewal reminder email, which is not a LangChain/LangSmith support request but rather a spam or phishing email unrelated to LangChain services.', 'analyze an unsolicited electronic document received, which is a spam message about a billing document from a third-party company unrelated to LangChain services.']"
22,Resolve LangGraph platform deployment infrastructure and configuration failures,"Users encountered various technical issues with LangGraph platform deployments including failed revisions, timeout errors, cancelled deployments, migration failures, and build integration problems that required engineering intervention or manual remediation. The support team addressed deployment infrastructure issues, licensing problems, missing functionality, and configuration errors that prevented successful LangGraph platform operations.",30,30,,"['help them get their developer seat back on LangSmith after trying the plus plan without getting extra use, and to enable 4-5 deployments on LangGraph platform.', 'help them understand the LangGraph deployment migration issue they received, which requires manual intervention to create a new revision due to a failed auto-migration from legacy infrastructure.', 'help them understand the LangGraph deployment migration issue they received notification about, which requires manual intervention to create a new revision due to failed auto-migration from legacy infrastructure.']"
23,Provide PDF invoice downloads from LangSmith billing interface,"Users requested assistance accessing and downloading PDF invoices from their LangSmith billing accounts, as they were unable to locate download options in the interface or retrieve copies of specific monthly invoices. Support teams fulfilled these requests by providing invoice access through download links or by directly emailing PDF copies to users' billing addresses for accounting and tax purposes.",15,15,,"['help them download PDF invoices from the billing section of their account, as they were unable to find a download option in the interface and needed copies of specific monthly invoices.', 'locate and provide an invoice/receipt for a payment made on a specific date, as they were unable to find the billing document through their account portal for accounting purposes.', 'provide PDF invoices for their organization for accounting purposes. The support team successfully fulfilled this billing-related request by sending the invoices from their billing system.']"
24,Provide LangGraph Platform deployment configuration and infrastructure guidance,"Users requested comprehensive information about LangGraph Platform deployment configurations, including self-hosted options, observability metrics, database connectivity, node limits, pricing, and multi-region setup. They also sought assistance with deployment automation via APIs, generative UI implementation issues, and various technical problems related to infrastructure requirements and deployment limits.",23,23,,"['help them with a database connectivity issue in their self-hosted LangGraph deployment, specifically related to PostgreSQL connection limits and performance problems that were causing errors under load.', 'help them with LangGraph Platform generative UI implementation issues, specifically problems with Tailwind CSS integration and TypeScript component imports when bundling UI components in a Python-based LangGraph project. The user needed guidance on setting up the proper Node.js project structure and dependencies to enable UI component bundling on the platform.', 'help them understand how to implement customer confirmation handling in LangGraph, specifically whether customers can directly approve actions rather than having only the agent or admin handle confirmations. They also reported technical difficulties joining the community platform.']"
25,Provide LangGraph and LangSmith pricing and licensing information,"Users sought information about LangGraph and LangSmith pricing models, licensing terms, and enterprise deployment options for their commercial applications and startups. They also requested assistance with obtaining license keys, understanding billing policies, and connecting with sales teams for enterprise quotations and contract negotiations.",27,27,,"['clarify the billing policy for new LangGraph deployments, specifically whether deployments created after a certain date would be charged immediately or if they would receive the same free period as existing deployments.', 'provide information about the pricing and deployment options for the LangGraph platform, specifically asking whether multiple agents can be deployed under a single deployment or if separate deployments are required for each agent type given their low-usage scenario.', 'provide information about student pricing or educational access for LangChain and LangGraph for their bachelor thesis research on LLM Workflow Frameworks. The support team confirmed no student pricing plans exist but provided information about free resources, credit-based pricing models, and trial options.']"
26,Process individual account deletion requests under GDPR privacy regulations,Users requested to delete their individual accounts and all associated personal data from the LangSmith platform under GDPR privacy regulations. The support team directed users to submit data subject access request forms and confirmed completion of the account and data deletion process.,20,20,,"['delete their account from the platform. The support team directed them to complete a data subject access request form to process the account deletion.', 'delete their account and all personal data from the platform. The support team processed this data deletion request and confirmed completion of the account and data removal.', 'delete their account and personal data from the platform. This is a data deletion request under privacy regulations.']"
27,Identify and categorize spam communications unrelated to LangChain services,"Support representatives received multiple unsolicited spam messages including oil company sales inquiries, fashion marketing content, domain name sales pitches, AI sponsorship offers, and other promotional outreach completely unrelated to LangChain services. The support team appropriately identified and categorized these communications as spam rather than legitimate technical support requests within the LangChain ecosystem.",14,14,,"[""help them understand the nature of the support request. However, the conversation provided is not actually a support request - it's a spam email from someone impersonating an oil company trying to solicit business participation in a fake procurement process."", 'share and engage with a recruitment post on social media that highlights their company\'s use of LangChain tools in their engineering stack. This falls under the ""Other Support - Spam"" category as it\'s a non-technical marketing/promotional request rather than a genuine support need.', ""provide a summary of the user's LangChain/LangSmith support request from the conversation. However, the conversation shown is actually a sponsorship offer from an AI company offering free credits, not a technical support request - this appears to be categorized as spam/non-technical inquiry.""]"
28,Configure LangSmith evaluation systems and tracing integration,"Users sought assistance with configuring and troubleshooting LangSmith's evaluation capabilities, including setting up LLM-as-Judge evaluators, integrating custom evaluators with LangGraph workflows, and resolving issues with evaluation variable mapping and dataset validation. They also requested guidance on capturing structured output reasoning in traces, instrumenting code for tracing, configuring automation rules, and integrating custom models into the LangSmith platform.",13,13,,"['help them understand how to capture the ""thinking"" or reasoning parts of LLM responses in LangSmith when using structured output with a model, as they weren\'t seeing this information in their traces despite expecting it to be available.', 'use LangChain off-the-shelf evaluators (specifically ""cot_qa"", ""embedding_distance"", and ""string_distance"") with a LangGraph workflow, and later asked about LangSmith evaluators for validating LLM prompt rephrasing.', 'get help with making the llama 3.2 model available in the LangSmith Playground for prompt testing, which required guidance on hosting local models as custom endpoints to integrate with the playground interface.']"
29,Handle spam and unsolicited commercial inquiries classification,"The support team received multiple unsolicited marketing and sales inquiries spanning petroleum products, mobile app development services, robotics hackathon sponsorships, AI challenges, media interviews, and various other commercial offers. These requests were all categorized as spam since they were unrelated to LangChain technical support services and required acknowledgment or classification responses from the support team.",17,17,,"['respond to a spam message offering oil and fuel products, which is not a legitimate support request.', ""respond to a promotional email from a third-party AI agent marketplace seeking to schedule a demo call. This is categorized as spam since it's an unsolicited marketing inquiry unrelated to technical support."", ""respond to a spam inquiry from a metal products manufacturer offering various hardware components and custom metal solutions. This is categorized as spam since it's an unsolicited marketing email unrelated to technical support.""]"
30,Categorize spam and phishing emails unrelated to LangChain services,"Users submitted various unsolicited marketing and promotional messages including Chinese breakfast tips, mobile app development services, cryptocurrency promotions, petroleum product sales, domain management offers, and other commercial content for spam categorization. These requests asked the support team to categorize or respond to spam emails and phishing attempts that were completely unrelated to LangChain or LangSmith technical services.",12,12,,"['categorize a spam message in Chinese about breakfast tips. This is a spam categorization request, not a LangChain/LangSmith support request.', 'categorize a spam email about mobile app development services, which is not a legitimate support request for any LangChain or LangSmith services.', 'categorize a spam email from a translation company that is unrelated to any technical support needs. This is a spam categorization request, not a legitimate support interaction.']"
31,Filter non-genuine LangChain support conversation submissions,"Users requested analysis and categorization of support conversations that contained no actual LangChain/LangSmith technical issues, including spam messages, automated confirmations, internal team communications, and misrouted tickets. These requests involved identifying and filtering out non-genuine support interactions from legitimate LangChain ecosystem support requests.",29,29,,"[""analyze a support conversation and categorize the user's specific LangChain support request, but no actual conversation content was provided to analyze."", 'analyze a support conversation and determine what specific LangChain/LangSmith support request was made.', 'analyze and categorize a support conversation to determine what specific LangChain/LangSmith support issue was being addressed.']"
32,Guide LangSmith evaluation setup and troubleshoot evaluation system issues,"Users requested guidance on LangSmith evaluation implementation strategies, including template variable configuration, dataset organization approaches, trace capture methodologies, and multi-output comparison techniques. They also sought troubleshooting assistance for evaluation system issues such as resource exhaustion during large-scale evaluations, UI display problems with evaluation results, and inconsistent scoring in specialized evaluation scenarios like F1 metrics and few-shot search.",12,12,,"['help with configuring template variables in evaluator prompts, specifically being unable to access the actual output variable in their evaluation setup. The issue was resolved when the support team identified it was caused by a bug affecting older evaluators and recommended creating a new evaluator rule as a workaround.', 'provide guidance on best practices for grouping questions in the EVAL dataset, specifically whether to use metadata or tags. The support agent recommended using metadata due to better platform support.', 'provide guidance on the most idiomatic way to capture problem traces for evaluation datasets, specifically asking for advice on different approaches to store traces with correct outputs for running evaluations.']"
33,Resolve LangSmith platform access and general account administration issues,"Users requested help with various platform access, account management, and general business inquiries including channel visibility settings, feature access requests, authentication issues, and enterprise trial requests. These requests primarily involved administrative assistance for platform navigation, pricing clarification, and non-technical business matters rather than specific LangChain component integration or development issues.",19,19,,"['help them understand the process for purchasing multiple tickets for an event, specifically asking about group ordering options and ticket transferability.', 'help them understand the privacy implications of their data usage and provide guidance on how to better protect their personal information online.', 'help them get in touch with a company executive regarding a paid speaking engagement opportunity, which falls under general business/sales inquiries rather than technical support.']"
34,Integrate MCP servers with LangChain agents and LangGraph platforms,"Users requested comprehensive support for integrating Model Context Protocol (MCP) servers with LangChain agents and LangGraph deployments, including functionality for sampling, hierarchical tool calling, SSE integration, resource templates, session management, and proper context handling. The requests involved both implementation guidance for MCP adapters and feature development needs such as annotation support, multiple tool exposure, and programmatic API access through MCP servers.",9,9,,"['inquire about LangGraph support for MCP sampling functionality and to discuss their experimental implementation of hierarchical tool calling using sampling requests within MCP servers.', 'provide guidance on properly using the MCP adapter with a LangGraph server agent, specifically addressing issues with process proliferation and context management when integrating MCP servers into their agent architecture.', ""help with integrating MCP servers using SSE into LangChain agents, specifically requesting support for resource templates as callable tools, runtime resource fetching, error handling for server unavailability, and tool annotations to differentiate between read-only and destructive operations. The conversation resulted in the development team implementing annotation support in the langchain-mcp-adapters library to meet the user's access control requirements.""]"
35,Filter spam phishing document signing requests from support channels,Multiple users submitted suspicious document signing requests that appeared to be spam or phishing attempts to the LangChain/LangSmith support system. The support team consistently identified these messages as fraudulent communications unrelated to technical support services and flagged them as security concerns.,24,24,,"['categorize and analyze a potential spam or phishing message that was incorrectly sent to a support system, where the support team appropriately declined to process an unrelated document signing request for security reasons.', 'analyze a potential spam or phishing message. This is a spam-related inquiry as the message appears to be a suspicious document signing request with a potentially malicious link.', 'analyze a potential spam or phishing message. This is a spam-related inquiry as the message appears to be a fraudulent document signing request unrelated to technical support services.']"
36,Resolve LangSmith self-hosted deployment upgrade and configuration issues,"Users requested help with upgrading and configuring self-hosted LangSmith deployments, encountering issues with version transitions, license keys, Redis configurations, database migrations, and infrastructure problems. The support requests focused on technical deployment challenges including StatefulSet configurations, backend startup failures, migration job issues, and environment-specific settings for on-premises installations.",13,13,,"['help with a LangSmith deployment upgrade from version 0.7.45 to the latest release, specifically resolving a Redis StatefulSet configuration issue that was preventing the upgrade from completing successfully.', 'help with a LangSmith SDK issue where the metadata endpoint URL is hardcoded and cannot be overridden for their custom deployment environment. The support team confirmed this is a known limitation that needs to be fixed to allow proper configuration of the metadata URL for self-hosted or custom LangSmith instances.', 'help with upgrading their on-premises LangSmith installation from version 0.7.20 to 0.9.86, specifically seeking guidance on whether they need to update license keys or allow network access to beacon endpoints when operating in ""offline mode"". The support agent confirmed their old keys should work in offline mode and recommended doing incremental version upgrades while noting that API key formats changed between versions which may require updating deprecated keys.']"
37,Enhance LangSmith dataset and experiment management workflows and features,"Users requested enhancements and guidance for LangSmith's dataset and experiment management capabilities, including CSV export functionality, programmatic dataset creation, collaborative features like commenting, and reporting/alerting automation. Support requests focused on improving workflows for dataset organization, synchronization between local and cloud environments, A/B testing monitoring, and resolving technical issues with download functionality in self-hosted deployments.",12,12,,"['add a CSV download feature for evaluation dataset experiment tables in LangSmith, including the ability to select all rows without pagination to export summary statistics for multiple experiments at once.', 'simplify the process for viewing evaluation data in their self-hosted LangSmith instance, including easier access to evaluation details without clicking through multiple buttons and the ability to export experiment results for analysis. The support team recommended upgrading from version 0.9.6 to 0.9.35 to access these improved features including a heatmap view and CSV export functionality.', 'help with the dataset feature to help with their finetuning initiatives. They want to know how to create dataset splits programmatically in LangSmith for their workflow of adding datasets, running finetune jobs, and running evaluations.']"
