cluster_id,name,description,size,total_size,member_clusters,sample_summaries,product,issue_type
89,Configure LangGraph Platform production scaling and deployment optimization,"Users requested technical support for configuring LangGraph Platform deployments to handle production-scale workloads, including scaling beyond default limits, managing high-traffic scenarios with 100+ concurrent users, and optimizing performance for enterprise implementations. The requests focused on deployment configuration challenges such as increasing BYOC limits from 5 to 50 deployments, Redis cluster integration, thread execution control, database connectivity, and load balancer handling for per-user assistant architectures.",35,35,,"['configuration help with LangGraph Platform for deployment scaling', 'configuration help with LangGraph Cloud API for advanced thread execution control implementation, including immediate termination, state updates during execution, graceful termination approaches, cancellation signal processing, and self-hosted Docker deployment scalability questions', 'deployment scaling help with LangGraph Platform for enterprise implementation, including startup program application and commercial discussions']",LangGraph Platform,Configuration
15,Process Admin subscription cancellation and account termination requests,"Users requested assistance with canceling LangChain/LangSmith subscriptions and terminating their paid plans through admin account management. They sought help with removing payment methods, processing refunds, disputing unauthorized charges, and completely closing their accounts.",35,35,,"['billing/account issues help with Admin/Account for refund processing after plan cancellation', 'billing/account issues help with Admin/Account for subscription refund, credit card removal, and account deletion', 'billing/account issues help with Admin/Account for subscription cancellation']",Admin,Other
27,Debug LangSmith web interface component integration issues,"Users encountered diverse debugging issues across multiple LangSmith web interface components including Playground, Evaluation UI, and Annotations, with specific problems ranging from model configuration errors to UI functionality failures. These requests involved troubleshooting various implementation languages (JavaScript, Ruby) and complex integration issues like feedback data retrieval, image processing token inflation, and evaluation workflow control problems.",34,34,,"['debugging help with LangSmith tutorial for records not appearing issue', 'debugging help with LangSmith Playground for model configuration and prompt settings', 'debugging help with LangSmith Playground for tag filtering functionality']",LangSmith,Debugging
22,Configure LangSmith and LangGraph Platform Kubernetes self-hosted deployments,"Users requested extensive deployment, configuration, and debugging help for LangSmith and LangGraph Platform self-hosted implementations specifically on Kubernetes infrastructure. The requests covered complex technical issues including Helm chart configuration, database migrations, authentication setup, cloud storage integration, resource scaling, and troubleshooting deployment errors across various Kubernetes environments like AKS.",33,33,,"['deployment help with LangSmith self-hosting for Kubernetes/Helm implementation', 'deployment help with LangSmith for Kubernetes StatefulSet upgrade configuration', 'debugging help with LangSmith API endpoints for Kubernetes deployment configuration']",LangSmith,Configuration
19,"Resolve Admin billing invoice document generation and delivery
issues","Users
experienced multiple issues with invoice document handling and delivery
systems within the LangChain Admin/Account billing interface. These requests
focused specifically on invoice PDF generation, download functionality,
re-issuance processes, delivery configuration, and duplicate invoice
resolution.",32,32,,"['billing/account issues help with Admin/Account for invoice/receipt retrieval', 'billing help with Admin/Account for invoice delivery', 'billing/account issues help with Admin/Account for invoice re-issuance']",Admin,Documentation
81,Process LangSmith and LangGraph Studio subscription cancellations and refunds,"Users encountered
various billing and account management issues across multiple LangChain
services, specifically requesting subscription cancellations and refunds for
LangSmith and LangGraph Studio services. The requests included refund
processing for unused subscriptions, unexpected charges, billing discrepancies,
and service access problems preventing use of paid features.",31,31,,"['billing/account issues help with LangSmith for subscription refund after cancellation', 'billing/account issues help with LangSmith subscription for refund due to console functionality problems', 'billing/account issues help with LangSmith Plus subscription cancellation and billing concerns']",LangSmith,Other
129,Resolve LangGraph Platform deployment billing and enterprise configuration issues,"Users experienced complex billing and account management issues specifically related to LangGraph Platform deployment configurations, including enterprise sales contacts, standalone container setups, GA transitions, development and production environments, and pricing clarifications. They also encountered authentication implementation challenges, certificate reissuance problems, user invite management issues, quota increase requests, and questions about self-hosted deployment options across various enterprise scenarios.",31,31,,"['billing/account issues help with LangSmith and LangGraph Platform for plan management and deployment quota configuration', 'billing/account issues help with LangGraph Platform for deployment configuration', 'billing/account issues help with LangGraph Platform for certificate reissuance with correct name']",LangGraph Platform,Configuration
58,Debug LangChain Python Library advanced implementation issues,"Users requested debugging help with LangChain Python Library for various advanced implementation issues including structured output configurations, tool calling with nested Pydantic models, multimodal LLM integrations, and caching problems. The requests focused on complex Python library features like recursive model handling, configurable fields compatibility, retriever configurations, and integration-specific issues with services like Perplexity, Azure Cosmos DB, and Anthropic API.",30,30,,"['debugging help with LangChain Python Library for Python implementation', 'debugging help with LangChain Python Library documentation issues caused by a specific commit that removed integration documentation', 'debugging help with LangChain Python Library for advanced Databricks integration implementation']",LangChain,Debugging
92,Debug LangSmith self-hosted production deployment infrastructure failures,"Users encountered production deployment issues with LangSmith self-hosted instances, experiencing infrastructure failures including connectivity problems between services, Redis disk bloat, S3 authentication errors, and IRSA configuration issues in AWS environments. They also faced operational challenges with API timeout errors, ClickHouse database issues causing trace tracking failures, and version upgrade complications requiring rollback support.",29,29,,"['debugging help with LangSmith Administration for self-hosted deployment configuration', 'troubleshooting help with LangSmith Administration for Helm chart deployment configuration', 'troubleshooting help with LangSmith Administration for post-migration UI visibility issues']",LangSmith,Debugging
103,Process LangSmith personal account deletion and GDPR data removal requests,"Users requested help with deleting their personal LangSmith accounts and removing associated personal information to comply with data privacy regulations including GDPR. The requests focused specifically on LangSmith account-level data management rather than general platform administration, with some users later withdrawing their deletion requests.",29,29,,"['data management help with LangSmith for account deletion', 'data management help with LangSmith for account deletion request', 'data management help with LangSmith for account deletion request']",LangSmith,Other
56,Request LangGraph Platform deployment quota increases during beta,Multiple users submitted feature requests to increase their deployment quotas on LangGraph Platform during the open beta period. These requests focused specifically on obtaining higher limits to enable multiple concurrent deployments within their organizations.,29,29,,"['feature request help with LangGraph Platform for deployment quota increase', 'feature request help with LangGraph Platform for deployment quota increase', 'feature request help with LangGraph Platform for deployment quota increase']",LangGraph Platform,Deployment
113,Handle general LangChain product information and unspecified support requests,"Users submitted general inquiries and requests for basic information about LangChain products without specifying particular components, implementation details, or technical issues. These requests included unspecified help requests, product overviews, getting started guidance, and non-technical inquiries mixed with unrelated content.",29,29,,"['documentation help with LangChain evaluation packages for open source implementation', 'debugging/troubleshooting help with unspecified LangChain product for screen sharing support session', 'general support with LangChain Support for unspecified implementation']",LangChain,Other
28,Resolve Admin billing account issues for LangGraph Platform deployment quotas,Users experienced billing and account management issues specifically related to requesting deployment quota increases for LangGraph Platform. These requests focused on administrative account limits rather than technical configuration or implementation problems.,29,29,,"['billing/account issues help with LangGraph Platform for deployment quota increase', 'billing/account issues help with LangGraph Platform for quota increase on deployments', 'account management help with LangGraph Platform for deployment quota increase']",LangGraph Platform,Deployment
80,Handle non-technical business partnership and collaboration outreach inquiries,"Users submitted various business partnership and collaboration requests that were unrelated to LangChain technical products, seeking opportunities for link building, paid articles, promotional content, fundraising outreach, web development services, plugin acquisition, marketplace showcases, hackathon sponsorships, and vendor partnerships. These requests represented general business development inquiries rather than technical support needs for LangChain, LangSmith, or LangGraph components.",29,29,,"['content submission help with Other/General for business partnership inquiry', 'collaboration inquiry with Other/General for web development services', 'partnership/business development inquiry with Other/General for marketplace integration opportunity']",Other,Other
57,Debug LangSmith multi-component integration issues for Python implementation,"Users requested debugging help with various LangSmith components including Evaluation, Playground, Prompt Hub, self-hosted setup, API integration, and observability features, all specifically for Python implementations. The debugging issues involved problems with evaluation score visibility, experiment UUIDs, token counting display, cache creation metrics, and infrastructure troubleshooting across multiple LangSmith services.",28,28,,"['debugging help with LangSmith evaluation caching for Python implementation', 'debugging help with LangSmith API rate limiting for Python implementation', 'debugging/troubleshooting help with LangSmith Evaluation and Playground for Python implementation']",LangSmith,Debugging
125,Request LangGraph Platform advanced deployment and configuration features,"Users requested advanced LangGraph Platform features for deployment environments, configuration management, and authentication systems. They specifically sought enhanced capabilities for multi-environment deployments, assistant configuration precedence, revision management, self-hosted control plane functionality, and complex multi-account architecture with domain-driven security isolation.",28,28,,"['feature request help with LangGraph Platform for deployment scaling and self-hosted license configuration', 'feature request help with LangGraph Platform for template project configuration', 'feature request help with LangGraph Platform for deployment configuration']",LangGraph Platform,Configuration
31,Block unsolicited marketing outreach for guest posting services,"This cluster contains requests from external marketing agencies and SEO services offering unsolicited guest posting, link exchange, and content marketing services specifically targeting LangChain's website and blog. These requests were promotional outreach attempts seeking paid content placement or backlink opportunities rather than genuine technical support inquiries about LangChain products.",27,27,,"['promotional services help with langchain.dev website for general SEO marketing implementation', 'promotional/marketing help with LangChain general website for link placement and banner advertising opportunities', 'sponsored content placement with LangChain website for gambling-related marketing purposes']",Other,Other
40,Debug LangSmith JavaScript SDK tracing and observability integration issues,"Users experienced debugging issues with LangSmith SDK tracing, annotations, evaluation, and observability features specifically in JavaScript implementations across various deployment environments including Vercel and browser-based applications. These requests focused on JavaScript-specific integration challenges, configuration problems, and functionality issues with LangSmith's tracing capabilities and related tools in web development contexts.",27,27,,"['debugging help with LangSmith Observability for JavaScript implementation', 'debugging help with LangSmith SDK evaluation for JavaScript implementation', 'debugging help with LangSmith Evaluation for JavaScript implementation']",LangSmith,Debugging
118,Debug LangGraph JavaScript Library implementation and deployment issues,"Users experienced debugging issues with the LangGraph JavaScript Library across various implementation scenarios including Command class routing, tool call handling, multimodal LLM integration, and API configuration problems like ignored recursionLimit parameters and MaxListenersExceededWarning errors. Additionally, users encountered debugging challenges with LangGraph Studio and Platform JavaScript deployments, including Docker compatibility issues, trace mixing in self-deployed servers, and input format inconsistencies between local and deployed environments.",27,27,,"['debugging help with LangChain JavaScript Library for advanced ChatBedrockConverse implementation with Claude 4 tool invocation errors, followed by version compatibility issues with LangGraph JavaScript Library causing stream locking errors in test environments', 'deployment and troubleshooting help with LangGraph Platform for JavaScript implementation, including issues with build failures, timeout errors, schema extraction problems with custom TypeScript interfaces, remote subgraph integration with MongoDB checkpointer causing stack overflow errors, server restarts during parallel node execution, and LangSmith trace viewing limitations for large traces', 'debugging help with LangGraph JavaScript Library for advanced Command class routing implementation']",LangGraph,Debugging
11,Resolve LangSmith unexpected billing charges from trace overages,"Users experienced unexpected LangSmith billing charges primarily due to unintentional trace volume overages from continuous services, coding errors, and extended data retention features. They sought help understanding usage patterns, configuring usage limits, optimizing trace volumes, and managing data retention to prevent future billing surprises.",27,27,,"['billing/account issues help with LangSmith data retention for advanced RAG implementation', 'billing/account issues help with LangSmith tracing for usage limit configuration, followed by feature request help with LangSmith integration for Snowflake Cortex Search Services', 'billing/account issues help with LangSmith for unexpected charges on free plan']",LangSmith,Other
66,Debug LangGraph Platform database connectivity and PostgreSQL integration issues,"Users reported debugging issues with LangGraph Platform and Python Library implementations experiencing complex database connectivity problems, specifically with PostgreSQL, Aurora Serverless, and connection pooling configurations causing SSL errors, runtime conflicts, and deployment failures. The support requests focused on troubleshooting advanced database integration scenarios including checkpointer functionality, async connection management, serialization issues, and production deployment inconsistencies across different environments.",27,27,,"['debugging help with LangGraph Platform for Python implementation experiencing UserRollback errors when creating parallel runs with multitask strategy rollback, where the issue was caused by not checking for ""running"" state runs before creating new runs which automatically cancels existing running runs', 'debugging help with LangSmith Run Ingestion for Python implementation experiencing recurring 503 Service Temporarily Unavailable errors that are halting production LangGraph-based agents', 'debugging help with LangGraph Python Library for Python implementation experiencing intermittent SSL connection errors with PostgreSQL checkpointer']",LangGraph Platform,Debugging
26,Provide LangGraph Python multi-agent architecture design best practices,"Users requested comprehensive best practices and architectural guidance for implementing advanced multi-agent systems using LangGraph Python Library and related LangChain components. The requests focused on complex agent workflow design, including hierarchical agent structures, collaborative interactions, enterprise-scale implementations, and migration strategies from legacy systems.",27,27,,"['best practices help with LangGraph Python Library for evaluation and debugging implementation, including comparison with alternative agent systems', 'feedback sharing with LangGraph Python Library for AI agents implementation', 'best practices help with LangGraph Python Library for advanced chatbot implementation']",LangGraph,Other
87,Configure LangGraph Studio and Platform authentication across deployment environments,"Users
experienced authentication and access problems across both LangGraph Studio and
LangGraph Platform, requiring help with custom authentication implementations
for various deployment scenarios including desktop applications, self-hosted
environments, cloud configurations, and SaaS deployments. The requests involved
configuration issues with SSO setup, custom auth implementations, account
access problems, billing-related authentication issues, and authentication
setup for both Python and JavaScript implementations in self-hosted and cloud
environments.",27,27,,"['authentication/access problems help with LangGraph Platform for self-hosted deployment configuration', 'authentication/access help with LangGraph Platform for cron job scheduling feature under startup program tier', 'troubleshooting help with LangGraph Platform for cron job management and authentication issues, plus account quota increase request']",LangGraph,Configuration
20,Resolve Admin authentication and workspace access management issues,"Users experienced authentication and access problems with general Admin/Account functionality, including workspace access, user management, SSO configuration, login issues, password resets, API key management, and enterprise plan member invitations. These requests focused on core administrative authentication systems rather than LangSmith-specific administration features.",26,26,,"['authentication/access problems help with Admin/Account for organization administration management', 'authentication/access problems help with Admin/Account for developer account creation and workspace access', 'troubleshooting help with Admin/Account authentication for SSO configuration issue']",Admin,Other
33,Troubleshoot LangGraph Platform deployment infrastructure failures and outages,"Users experienced critical deployment failures and infrastructure problems with LangGraph Platform, including database initialization failures, health check timeouts, API connectivity issues, and service outages. The requests focused on troubleshooting deployment availability problems, storage management issues, repository access authentication, and platform-wide infrastructure outages affecting production deployments.",26,26,,"['troubleshooting help with LangChain platform for deployment issues', 'deployment issues help with LangGraph Platform for cloud deployment configuration', 'deployment issues help with LangGraph Platform for auto-deployment feature configuration']",LangGraph Platform,Deployment
23,Debug LangSmith Datasets Python implementation and management issues,"Users encountered various debugging issues with LangSmith Datasets functionality, including problems with dataset creation, example addition, file uploads, experiment integration, and dataset versioning. The issues primarily involved Python implementation challenges with dataset editors, experiment view filtering, trace addition validation, and specific bugs like file attachment deletion and missing input data in RunnableSequences.",25,25,,"['debugging help with LangSmith Datasets for dataset creation and validation issues with LLM call logs from OpenAI chat completions API', ""debugging help with LangSmith Experiments and Datasets for Python implementation - specifically issues with experiment view reporting not displaying evaluation runs properly after performing a manual dataset restore when using previously tagged dataset versions, while CLI execution worked correctly and child traces were visible but root traces weren't being persisted"", 'debugging help with LangSmith Datasets for dataset versioning and experiment view filtering functionality']",LangSmith,Debugging
139,Resolve LangGraph installation and compatibility setup issues,"Users experienced installation, setup, and version compatibility issues across the LangGraph ecosystem, including the Python library, Studio interface, Platform configuration, and CLI tools. These requests primarily focused on getting LangGraph components properly installed and configured on various environments, particularly Windows systems and Python implementations, rather than debugging runtime errors or deployment troubleshooting.",25,25,,"['setup/installation help with LangGraph Python Library for Python implementation', 'version/compatibility issues help with LangGraph Studio and langgraph-api for Python implementation', 'integration help with LangGraph Python Library for advanced implementation with pyMDP framework']",LangGraph,Setup
61,Configure LangSmith Python SDK advanced features and integrations,"Users requested various enhancements and improvements to LangSmith SDK and Playground features for Python implementations, including negative filtering capabilities for metadata, trace consolidation options, and general feature additions. They also sought configuration guidance for advanced setups involving corporate proxies, environment variable overrides, third-party library integrations, and LangGraph agent trace management.",25,25,,"['feature request help with LangSmith SDK for Python implementation', 'configuration help with LangSmith SDK tracing for Python implementation to dynamically specify projects during LLM invocation instead of using environment variables', 'API Usage help with LangSmith SDK/Tracing for Python implementation']",LangSmith,Integration
14,Debug LangGraph Studio local development and configuration issues,"Users experienced various debugging and configuration issues with LangGraph Studio across different development scenarios including local environment setup, graph visibility problems in the studio dropdown, tracing configuration with EU endpoints, version compatibility errors, and Docker storage issues consuming excessive disk space. These support requests also encompassed LangGraph Platform auto-build functionality failures, thread execution problems stuck in busy states, and LangGraph CLI build conflicts with greenlet package dependencies.",25,25,,"['debugging help with LangGraph Studio for Docker storage issue causing excessive disk usage (65GB) with local development environment', 'debugging help with LangGraph Studio for local deployment configuration', 'debugging help with LangGraph Platform for trace viewing functionality']",LangGraph,Debugging
9,Handle LangChain investment and business partnership inquiries,"Users submitted investment and general business partnership inquiries to LangChain seeking non-technical business development opportunities including funding, partnerships, and commercial collaborations. These requests were primarily unsolicited business outreach attempts rather than technical support needs for LangChain products or services.",25,25,,"['business development discussion with LangChain for general partnership exploration regarding Agentic AI microservices infrastructure', 'linking opportunities inquiry with LangChain general website for business partnership outreach', 'business partnership outreach with LangChain for petroleum/energy sector services - this was an unsolicited commercial offer that was declined and closed']",LangChain,Other
49,Integrate LangGraph JavaScript Library features and Platform authentication,"Users requested JavaScript-specific integrations, features, and authentication solutions across LangGraph and LangChain JavaScript libraries and LangGraph Platform. The requests focused on streaming implementations, third-party integrations, database persistence, React SDK features, and client-side authentication configurations for JavaScript/Next.js applications.",23,23,,"['authentication/access problems help with LangGraph Platform for frontend JavaScript implementation', 'API Usage help with LangGraph Platform for JavaScript implementation', 'configuration help with LangChain JavaScript Library for JavaScript implementation regarding cache settings and file hashing issues']",LangGraph,Integration
68,"Guide LangSmith API usage across Datasets, Prompt Hub, and SDK implementations","Users required API usage guidance for LangSmith core components including Datasets, Prompt Hub, and SDK across Python and JavaScript implementations. Requests focused on programmatic access patterns, rate limit configuration, cross-language integration, and basic API implementation for data management workflows.",22,22,,"['API Usage help with LangSmith SDK for dataset existence checking functionality', 'API Usage help with LangSmith Administration for rate limit information and adjustment', 'API usage help with LangSmith Prompt Hub for Python implementation']",LangSmith,Other
71,Resolve LangSmith Administration authentication and account access issues,"Users requested support for LangSmith Administration authentication and access issues including organization invitations, user management, account setup, and login functionality. The requests focused on administrative controls for account limits, billing transfers, password resets, and OAuth implementation within the LangSmith platform.",22,22,,"['authentication/access help with LangSmith platform for general account setup', 'authentication/access problems help with LangSmith Admin/Account for account setup and billing subscription transfer', 'authentication/access problems help with LangSmith for account usage limit issues']",LangSmith,Other
122,Resolve LangSmith SDK authentication and API access integration issues,"Users encountered authentication and access problems across multiple LangSmith components including SDK/Tracing, Datasets, Dashboards, and Observability features, with issues spanning Python implementation, API access, Personal Access Token management, and self-hosted license validation. The requests focused on technical integration challenges with authentication mechanisms rather than organizational access or account setup issues.",22,22,,"['authentication/access problems help with LangSmith for general access implementation', 'authentication/access problems help with LangSmith SDK tracing for Python implementation', 'authentication/access problems help with LangSmith self-hosted v0.9 for license key validation and JWT token configuration']",LangSmith,Integration
149,Configure LangSmith Playground advanced workflows and Prompt Hub automation features,"Users requested advanced LangSmith Playground and Prompt Hub workflow enhancements including trace filtering by prompt versions, experiment tracking automation, collaborative development features, and output comparison capabilities across prompt iterations. They also needed configuration assistance for complex scenarios like multimodal evaluations with image attachments, template escaping for curly braces, rate limiting settings, and model-specific token limits with Vertex AI and Bedrock providers.",22,22,,"['configuration help with LangSmith Playground for prompt template escaping to prevent curly braces from being interpreted as variables', 'feature access help with LangSmith Playground prompt optimization for intermediate implementation', 'feature request help with LangSmith Playground for saving generated outputs and comparing model responses across different prompt iterations']",LangSmith,Configuration
45,Configure LangSmith Administration SSO authentication across deployment environments,"Users requested configuration assistance for LangSmith Administration SSO implementations across various deployment environments including self-hosted, AKS, OpenShift, and cloud platforms with multiple identity providers like Google SSO, Azure AD, and SAML. They encountered authentication problems during SSO setup transitions, CORS errors, and needed help with SSO timeout settings, roles validation, multi-region deployments, and organization management configurations.",22,22,,"['configuration help with LangSmith Administration for SSO setup', 'authentication/access problems help with LangSmith Administration for SSO setup with Azure/Entra ID integration', 'configuration help with LangSmith self-hosting SSO authentication for OIDC integration with Microsoft Entra, including troubleshooting network access restrictions and optional claims setup']",LangSmith,Configuration
42,Implement LangSmith UI/UX feature enhancements across Playground and platform,"Users submitted feature requests for LangSmith UI/UX improvements across multiple components including Playground interface enhancements, beta alerts functionality access, and administrative features. The requests focused on optimizing user experience through better model switching, template configuration, experiment naming, sharing capabilities, and multi-region workspace support.",22,22,,"['feature request help with LangSmith Playground for JavaScript implementation', 'feature request help with LangSmith observability for JavaScript implementation', 'feature request help with LangSmith Playground for provider integration implementation']",LangSmith,Other
107,Setup LangSmith Evaluation workflows for Python implementation,"Users requested comprehensive help with LangSmith Evaluation implementation in Python, including configuration, integration with LangChain evaluators and LangGraph workflows, usage of custom datasets like HealthBench, and embedding distance examples. They also encountered debugging issues with concurrent evaluation processing across multiple models, experiencing rate limiting errors with VertexAI and Anthropic Claude, while seeking batch processing solutions and testing framework integrations.",21,21,,"['documentation gap help with LangSmith Evaluation for Python implementation', 'feature request help with LangSmith Evaluation for Python implementation', 'configuration help with LangSmith Evaluation for Python implementation']",LangSmith,Setup
